,size,db,task,method,trial,fold,score,scorer,selection,X_shape,Type,imputation_WCT,tuning_WCT,imputation_PT,tuning_PT
0,2500,MIMIC,hemo_pvals,Iter,0,0,0.7300703404571331,roc_auc_score,ANOVA,"(30836, 100)",Classification,7.408047,85.287261,235.876606,2725.379759
1,2500,MIMIC,hemo_pvals,Iter,0,1,0.7487750076269404,roc_auc_score,ANOVA,"(30836, 100)",Classification,9.821031,79.54643,314.28781000000004,2545.3362629999997
2,2500,MIMIC,hemo_pvals,Iter,0,2,0.7076018698194518,roc_auc_score,ANOVA,"(30836, 100)",Classification,6.0491269999999995,79.183557,193.562199,2533.875816
3,2500,MIMIC,hemo_pvals,Iter,0,3,0.7602482563756692,roc_auc_score,ANOVA,"(30836, 100)",Classification,12.850464,81.940221,410.720037,2618.4454530000003
4,2500,MIMIC,hemo_pvals,Iter,0,4,0.7115740926529801,roc_auc_score,ANOVA,"(30836, 100)",Classification,11.696035,79.63240400000001,373.734969,2547.9510530000002
5,2500,MIMIC,hemo_pvals,Iter,1,0,0.7526904437347542,roc_auc_score,ANOVA,"(30836, 100)",Classification,11.438276,81.665397,364.76486,2613.157673
6,2500,MIMIC,hemo_pvals,Iter,1,1,0.7575101523532618,roc_auc_score,ANOVA,"(30836, 100)",Classification,5.821403,81.173342,186.28946100000002,2597.176281
7,2500,MIMIC,hemo_pvals,Iter,1,2,0.7495235050009861,roc_auc_score,ANOVA,"(30836, 100)",Classification,10.906442,80.760554,345.54489900000004,2583.7390570000002
8,2500,MIMIC,hemo_pvals,Iter,1,3,0.7681965856333898,roc_auc_score,ANOVA,"(30836, 100)",Classification,10.840301,80.422251,346.3327,2573.355861
9,2500,MIMIC,hemo_pvals,Iter,1,4,0.757022891177906,roc_auc_score,ANOVA,"(30836, 100)",Classification,6.871233,81.728195,219.214325,2615.194838
10,2500,MIMIC,hemo_pvals,Iter,2,0,0.7601522022332373,roc_auc_score,ANOVA,"(30836, 100)",Classification,5.747902,84.427212,182.68506399999998,2701.586739
11,2500,MIMIC,hemo_pvals,Iter,2,1,0.7557937778836417,roc_auc_score,ANOVA,"(30836, 100)",Classification,12.124783,84.443099,387.965465,2702.062921
12,2500,MIMIC,hemo_pvals,Iter,2,2,0.7356739734267466,roc_auc_score,ANOVA,"(30836, 100)",Classification,8.476303999999999,82.13546600000001,269.424556,2627.951497
13,2500,MIMIC,hemo_pvals,Iter,2,3,0.7391783098872335,roc_auc_score,ANOVA,"(30836, 100)",Classification,10.338963,80.772538,330.317238,2584.4526969999997
14,2500,MIMIC,hemo_pvals,Iter,2,4,0.7403782531005078,roc_auc_score,ANOVA,"(30836, 100)",Classification,12.534364,82.522355,400.48179300000004,2640.101372
15,2500,MIMIC,hemo_pvals,Iter,3,0,0.728372175712628,roc_auc_score,ANOVA,"(30836, 100)",Classification,7.979049000000001,85.586424,253.738105,2738.6109469999997
16,2500,MIMIC,hemo_pvals,Iter,3,1,0.7832464056289626,roc_auc_score,ANOVA,"(30836, 100)",Classification,7.615094,79.276699,243.683893,2536.621796
17,2500,MIMIC,hemo_pvals,Iter,3,2,0.7400044790745662,roc_auc_score,ANOVA,"(30836, 100)",Classification,14.993003,87.242242,478.946212,2787.130995
18,2500,MIMIC,hemo_pvals,Iter,3,3,0.7729352566600344,roc_auc_score,ANOVA,"(30836, 100)",Classification,10.649113999999999,83.618351,340.77667599999995,2675.381438
19,2500,MIMIC,hemo_pvals,Iter,3,4,0.7654487294833141,roc_auc_score,ANOVA,"(30836, 100)",Classification,10.124873,81.030902,324.000821,2592.826098
20,2500,MIMIC,hemo_pvals,Iter,4,0,0.7693829794303463,roc_auc_score,ANOVA,"(30836, 100)",Classification,12.084153,83.677212,385.23942900000003,2677.294046
21,2500,MIMIC,hemo_pvals,Iter,4,1,0.7723698490103101,roc_auc_score,ANOVA,"(30836, 100)",Classification,10.10475,81.828588,323.320633,2618.340419
22,2500,MIMIC,hemo_pvals,Iter,4,2,0.7639472470304556,roc_auc_score,ANOVA,"(30836, 100)",Classification,6.015154,89.19789200000001,192.483212,2850.271691
23,2500,MIMIC,hemo_pvals,Iter,4,3,0.7573044946520798,roc_auc_score,ANOVA,"(30836, 100)",Classification,8.744326,84.808523,279.06760499999996,2713.644737
24,2500,MIMIC,hemo_pvals,Iter,4,4,0.7687650570046383,roc_auc_score,ANOVA,"(30836, 100)",Classification,6.644,78.398209,211.82366499999998,2508.43618
25,2500,MIMIC,hemo_pvals,Iter+mask,0,0,0.7430164193898188,roc_auc_score,ANOVA,"(30836, 100)",Classification,11.598422,135.25964399999998,369.714021,4323.826032999999
26,2500,MIMIC,hemo_pvals,Iter+mask,0,1,0.7446678947443367,roc_auc_score,ANOVA,"(30836, 100)",Classification,5.772581,123.84968700000002,184.673998,3962.282789
27,2500,MIMIC,hemo_pvals,Iter+mask,0,2,0.7843068847863787,roc_auc_score,ANOVA,"(30836, 100)",Classification,8.655077,129.449126,276.432224,4137.056124000001
28,2500,MIMIC,hemo_pvals,Iter+mask,0,3,0.7821788928573432,roc_auc_score,ANOVA,"(30836, 100)",Classification,11.768796,122.241605,375.878445,3910.9524850000003
29,2500,MIMIC,hemo_pvals,Iter+mask,0,4,0.726572088288687,roc_auc_score,ANOVA,"(30836, 100)",Classification,9.648463000000001,127.541496,307.96792400000004,4076.755727
30,2500,MIMIC,hemo_pvals,Iter+mask,1,0,0.770406780231488,roc_auc_score,ANOVA,"(30836, 100)",Classification,12.863439,126.70071599999999,410.235635,4053.5228850000003
31,2500,MIMIC,hemo_pvals,Iter+mask,1,1,0.7777363240433529,roc_auc_score,ANOVA,"(30836, 100)",Classification,6.562545,124.99193600000001,209.93902599999998,3994.890011
32,2500,MIMIC,hemo_pvals,Iter+mask,1,2,0.7775838283832655,roc_auc_score,ANOVA,"(30836, 100)",Classification,9.156661999999999,124.34867,292.776825,3977.7711990000003
33,2500,MIMIC,hemo_pvals,Iter+mask,1,3,0.7722047964070745,roc_auc_score,ANOVA,"(30836, 100)",Classification,8.632641,119.05643700000002,275.457467,3805.267221
34,2500,MIMIC,hemo_pvals,Iter+mask,1,4,0.7879501243396277,roc_auc_score,ANOVA,"(30836, 100)",Classification,9.375973,118.296125,299.972817,3784.5815369999996
35,2500,MIMIC,hemo_pvals,Iter+mask,2,0,0.7428484756690887,roc_auc_score,ANOVA,"(30836, 100)",Classification,5.709359,136.995781,181.401865,4383.404222
36,2500,MIMIC,hemo_pvals,Iter+mask,2,1,0.7577153785443699,roc_auc_score,ANOVA,"(30836, 100)",Classification,12.29141,128.21458700000002,393.14139500000005,4098.7445960000005
37,2500,MIMIC,hemo_pvals,Iter+mask,2,2,0.7439042945177077,roc_auc_score,ANOVA,"(30836, 100)",Classification,9.101659,122.47747199999999,291.148236,3918.8801869999998
38,2500,MIMIC,hemo_pvals,Iter+mask,2,3,0.7683110221049665,roc_auc_score,ANOVA,"(30836, 100)",Classification,9.389085000000001,123.619616,300.441009,3951.571761
