,size,db,task,method,trial,fold,score,scorer,selection,n,p,type,imputation_WCT,tuning_WCT,imputation_PT,tuning_PT
0,10000,MIMIC,hemo_pvals,_imputed_Mean+mask_Bagged100,0,0,0.8336575398577601,roc_auc_score,ANOVA,30836,100,Classification,0.0,9086.045537,0.0,325117.903124
1,10000,MIMIC,hemo_pvals,_imputed_Mean+mask_Bagged100,0,1,0.8357033865621839,roc_auc_score,ANOVA,30836,100,Classification,0.0,9137.916006,0.0,329211.756024
2,10000,MIMIC,hemo_pvals,_imputed_Mean+mask_Bagged100,0,2,0.835616832123514,roc_auc_score,ANOVA,30836,100,Classification,0.0,9343.467997,0.0,337035.977476
3,10000,MIMIC,hemo_pvals,_imputed_Mean+mask_Bagged100,0,3,0.8280763755089265,roc_auc_score,ANOVA,30836,100,Classification,0.0,9271.906319,0.0,334322.80004
4,10000,MIMIC,hemo_pvals,_imputed_Mean+mask_Bagged100,0,4,0.8268772292359174,roc_auc_score,ANOVA,30836,100,Classification,0.0,9199.150379,0.0,331435.771513
5,10000,MIMIC,hemo_pvals,_imputed_Mean+mask_Bagged100,1,0,0.8415002982295466,roc_auc_score,ANOVA,30836,100,Classification,0.0,9341.477247,0.0,335083.944748
6,10000,MIMIC,hemo_pvals,_imputed_Mean+mask_Bagged100,1,1,0.8427695504039874,roc_auc_score,ANOVA,30836,100,Classification,0.0,9204.992725,0.0,330710.119762
7,10000,MIMIC,hemo_pvals,_imputed_Mean+mask_Bagged100,1,2,0.8381101429186253,roc_auc_score,ANOVA,30836,100,Classification,0.0,9262.68808,0.0,332861.755215
8,10000,MIMIC,hemo_pvals,_imputed_Mean+mask_Bagged100,1,3,0.8373483999805172,roc_auc_score,ANOVA,30836,100,Classification,0.0,9389.476353,0.0,338052.238179
9,10000,MIMIC,hemo_pvals,_imputed_Mean+mask_Bagged100,1,4,0.8247334897807473,roc_auc_score,ANOVA,30836,100,Classification,0.0,9331.365861,0.0,335726.327418
10,10000,MIMIC,hemo_pvals,_imputed_Mean+mask_Bagged100,2,0,0.8351757558142785,roc_auc_score,ANOVA,30836,100,Classification,0.0,7933.465878,0.0,279950.487467
11,10000,MIMIC,hemo_pvals,_imputed_Mean+mask_Bagged100,2,1,0.8317579733485788,roc_auc_score,ANOVA,30836,100,Classification,0.0,7594.62182,0.0,267127.638442
12,10000,MIMIC,hemo_pvals,_imputed_Mean+mask_Bagged100,2,2,0.8346423760630666,roc_auc_score,ANOVA,30836,100,Classification,0.0,7765.784262,0.0,273563.819254
13,10000,MIMIC,hemo_pvals,_imputed_Mean+mask_Bagged100,2,3,0.8440105366455045,roc_auc_score,ANOVA,30836,100,Classification,0.0,7764.475886,0.0,273797.772645
14,10000,MIMIC,hemo_pvals,_imputed_Mean+mask_Bagged100,2,4,0.833717904392478,roc_auc_score,ANOVA,30836,100,Classification,0.0,7818.288575,0.0,275736.477378
15,10000,MIMIC,hemo_pvals,_imputed_Mean+mask_Bagged100,3,0,0.8319933630950717,roc_auc_score,ANOVA,30836,100,Classification,0.0,9726.372996,0.0,349435.484881
16,10000,MIMIC,hemo_pvals,_imputed_Mean+mask_Bagged100,3,1,0.8381847202670732,roc_auc_score,ANOVA,30836,100,Classification,0.0,9515.804935,0.0,342565.816312
17,10000,MIMIC,hemo_pvals,_imputed_Mean+mask_Bagged100,3,2,0.8457411463352899,roc_auc_score,ANOVA,30836,100,Classification,0.0,9825.118182,0.0,354279.896395
18,10000,MIMIC,hemo_pvals,_imputed_Mean+mask_Bagged100,3,3,0.8352647056709924,roc_auc_score,ANOVA,30836,100,Classification,0.0,9519.819554,0.0,342462.910556
19,10000,MIMIC,hemo_pvals,_imputed_Mean+mask_Bagged100,3,4,0.8291132721330638,roc_auc_score,ANOVA,30836,100,Classification,0.0,9495.48952,0.0,341245.341533
20,10000,MIMIC,hemo_pvals,_imputed_Mean+mask_Bagged100,4,0,0.8257569720638362,roc_auc_score,ANOVA,30836,100,Classification,0.0,7984.046434,0.0,281413.183706
21,10000,MIMIC,hemo_pvals,_imputed_Mean+mask_Bagged100,4,1,0.8289189238823979,roc_auc_score,ANOVA,30836,100,Classification,0.0,7888.245718,0.0,278989.252357
22,10000,MIMIC,hemo_pvals,_imputed_Mean+mask_Bagged100,4,2,0.8152747823962325,roc_auc_score,ANOVA,30836,100,Classification,0.0,7843.649788,0.0,277027.766055
23,10000,MIMIC,hemo_pvals,_imputed_Mean+mask_Bagged100,4,3,0.8255706085399848,roc_auc_score,ANOVA,30836,100,Classification,0.0,7986.476256,0.0,282427.574018
24,10000,MIMIC,hemo_pvals,_imputed_Mean+mask_Bagged100,4,4,0.8248796102814536,roc_auc_score,ANOVA,30836,100,Classification,0.0,7957.107596,0.0,281634.87023
25,10000,MIMIC,septic_pvals,_imputed_Mean+mask_Bagged100,0,0,0.9298233104767125,roc_auc_score,ANOVA,30836,100,Classification,0.0,9751.066305,0.0,351231.295514
26,10000,MIMIC,septic_pvals,_imputed_Mean+mask_Bagged100,0,1,0.9313836416048088,roc_auc_score,ANOVA,30836,100,Classification,0.0,9640.658412,0.0,348120.453856
27,10000,MIMIC,septic_pvals,_imputed_Mean+mask_Bagged100,0,2,0.93143525703273,roc_auc_score,ANOVA,30836,100,Classification,0.0,9742.646196,0.0,351793.291561
28,10000,MIMIC,septic_pvals,_imputed_Mean+mask_Bagged100,0,3,0.9279279212191258,roc_auc_score,ANOVA,30836,100,Classification,0.0,9713.172312,0.0,351095.823268
29,10000,MIMIC,septic_pvals,_imputed_Mean+mask_Bagged100,0,4,0.9330362196022828,roc_auc_score,ANOVA,30836,100,Classification,0.0,9599.843494,0.0,346210.594558
30,10000,MIMIC,septic_pvals,_imputed_Mean+mask_Bagged100,1,0,0.9300735685073097,roc_auc_score,ANOVA,30836,100,Classification,0.0,10033.366502,0.0,362889.975328
31,10000,MIMIC,septic_pvals,_imputed_Mean+mask_Bagged100,1,1,0.9308138705781076,roc_auc_score,ANOVA,30836,100,Classification,0.0,9993.92318,0.0,362622.68472
32,10000,MIMIC,septic_pvals,_imputed_Mean+mask_Bagged100,1,2,0.9319704471189934,roc_auc_score,ANOVA,30836,100,Classification,0.0,10176.741019,0.0,369289.557193
