,size,db,task,method,trial,fold,score,scorer,selection,n,p,type,imputation_WCT,tuning_WCT,imputation_PT,tuning_PT
0,2500,MIMIC,hemo_pvals,MI,0,0,0.7582217124649884,roc_auc_score,ANOVA,30836,100,Classification,,,,
1,2500,MIMIC,hemo_pvals,MI,0,1,0.7595212482032999,roc_auc_score,ANOVA,30836,100,Classification,,,,
2,2500,MIMIC,hemo_pvals,MI,0,2,0.7758656415713352,roc_auc_score,ANOVA,30836,100,Classification,,,,
3,2500,MIMIC,hemo_pvals,MI,0,3,0.7721455932249467,roc_auc_score,ANOVA,30836,100,Classification,,,,
4,2500,MIMIC,hemo_pvals,MI,0,4,0.7591340110630552,roc_auc_score,ANOVA,30836,100,Classification,,,,
5,2500,MIMIC,hemo_pvals,MI,1,0,0.7965979745780155,roc_auc_score,ANOVA,30836,100,Classification,,,,
6,2500,MIMIC,hemo_pvals,MI,1,1,0.7788655859065359,roc_auc_score,ANOVA,30836,100,Classification,,,,
7,2500,MIMIC,hemo_pvals,MI,1,2,0.7965290192682194,roc_auc_score,ANOVA,30836,100,Classification,,,,
8,2500,MIMIC,hemo_pvals,MI,1,3,0.7906291546329295,roc_auc_score,ANOVA,30836,100,Classification,,,,
9,2500,MIMIC,hemo_pvals,MI,1,4,0.7924100830095928,roc_auc_score,ANOVA,30836,100,Classification,,,,
10,2500,MIMIC,hemo_pvals,MI,2,0,0.7962145347264205,roc_auc_score,ANOVA,30836,100,Classification,,,,
11,2500,MIMIC,hemo_pvals,MI,2,1,0.7859853295205103,roc_auc_score,ANOVA,30836,100,Classification,,,,
12,2500,MIMIC,hemo_pvals,MI,2,2,0.7818771810137293,roc_auc_score,ANOVA,30836,100,Classification,,,,
13,2500,MIMIC,hemo_pvals,MI,2,3,0.7921452221262832,roc_auc_score,ANOVA,30836,100,Classification,,,,
14,2500,MIMIC,hemo_pvals,MI,2,4,0.7783524341267509,roc_auc_score,ANOVA,30836,100,Classification,,,,
15,2500,MIMIC,hemo_pvals,MI,3,0,0.7687397705143125,roc_auc_score,ANOVA,30836,100,Classification,,,,
16,2500,MIMIC,hemo_pvals,MI,3,1,0.7769892075015438,roc_auc_score,ANOVA,30836,100,Classification,,,,
17,2500,MIMIC,hemo_pvals,MI,3,2,0.7805268133887219,roc_auc_score,ANOVA,30836,100,Classification,,,,
18,2500,MIMIC,hemo_pvals,MI,3,3,0.7774285710587057,roc_auc_score,ANOVA,30836,100,Classification,,,,
19,2500,MIMIC,hemo_pvals,MI,3,4,0.7838081022920521,roc_auc_score,ANOVA,30836,100,Classification,,,,
20,2500,MIMIC,hemo_pvals,MI,4,0,0.7841158552766994,roc_auc_score,ANOVA,30836,100,Classification,,,,
21,2500,MIMIC,hemo_pvals,MI,4,1,0.7895740262004286,roc_auc_score,ANOVA,30836,100,Classification,,,,
22,2500,MIMIC,hemo_pvals,MI,4,2,0.7934036781055673,roc_auc_score,ANOVA,30836,100,Classification,,,,
23,2500,MIMIC,hemo_pvals,MI,4,3,0.7871476450553476,roc_auc_score,ANOVA,30836,100,Classification,,,,
24,2500,MIMIC,hemo_pvals,MI,4,4,0.7812851491924506,roc_auc_score,ANOVA,30836,100,Classification,,,,
25,2500,MIMIC,hemo_pvals,MI+mask,0,0,0.7867652408279296,roc_auc_score,ANOVA,30836,100,Classification,,,,
26,2500,MIMIC,hemo_pvals,MI+mask,0,1,0.767814181405972,roc_auc_score,ANOVA,30836,100,Classification,,,,
27,2500,MIMIC,hemo_pvals,MI+mask,0,2,0.78356783748295,roc_auc_score,ANOVA,30836,100,Classification,,,,
28,2500,MIMIC,hemo_pvals,MI+mask,0,3,0.7868965061923854,roc_auc_score,ANOVA,30836,100,Classification,,,,
29,2500,MIMIC,hemo_pvals,MI+mask,0,4,0.78169801803108,roc_auc_score,ANOVA,30836,100,Classification,,,,
30,2500,MIMIC,hemo_pvals,MI+mask,1,0,0.8079800883991538,roc_auc_score,ANOVA,30836,100,Classification,,,,
31,2500,MIMIC,hemo_pvals,MI+mask,1,1,0.7975448802840027,roc_auc_score,ANOVA,30836,100,Classification,,,,
32,2500,MIMIC,hemo_pvals,MI+mask,1,2,0.8156536320418668,roc_auc_score,ANOVA,30836,100,Classification,,,,
33,2500,MIMIC,hemo_pvals,MI+mask,1,3,0.8029710331602545,roc_auc_score,ANOVA,30836,100,Classification,,,,
34,2500,MIMIC,hemo_pvals,MI+mask,1,4,0.817816619437889,roc_auc_score,ANOVA,30836,100,Classification,,,,
35,2500,MIMIC,hemo_pvals,MI+mask,2,0,0.8134623375850021,roc_auc_score,ANOVA,30836,100,Classification,,,,
36,2500,MIMIC,hemo_pvals,MI+mask,2,1,0.7950173531776186,roc_auc_score,ANOVA,30836,100,Classification,,,,
37,2500,MIMIC,hemo_pvals,MI+mask,2,2,0.7941680550503293,roc_auc_score,ANOVA,30836,100,Classification,,,,
38,2500,MIMIC,hemo_pvals,MI+mask,2,3,0.8018697331498552,roc_auc_score,ANOVA,30836,100,Classification,,,,
39,2500,MIMIC,hemo_pvals,MI+mask,2,4,0.768575624082232,roc_auc_score,ANOVA,30836,100,Classification,,,,
40,2500,MIMIC,hemo_pvals,MI+mask,3,0,0.7794381997744927,roc_auc_score,ANOVA,30836,100,Classification,,,,
41,2500,MIMIC,hemo_pvals,MI+mask,3,1,0.8052802161692866,roc_auc_score,ANOVA,30836,100,Classification,,,,
42,2500,MIMIC,hemo_pvals,MI+mask,3,2,0.7908411986832039,roc_auc_score,ANOVA,30836,100,Classification,,,,
43,2500,MIMIC,hemo_pvals,MI+mask,3,3,0.8001088268406169,roc_auc_score,ANOVA,30836,100,Classification,,,,
44,2500,MIMIC,hemo_pvals,MI+mask,3,4,0.8110432058091612,roc_auc_score,ANOVA,30836,100,Classification,,,,
45,2500,MIMIC,hemo_pvals,MI+mask,4,0,0.7982157058447606,roc_auc_score,ANOVA,30836,100,Classification,,,,
46,2500,MIMIC,hemo_pvals,MI+mask,4,1,0.7938498595218955,roc_auc_score,ANOVA,30836,100,Classification,,,,
47,2500,MIMIC,hemo_pvals,MI+mask,4,2,0.7880337941429411,roc_auc_score,ANOVA,30836,100,Classification,,,,
48,2500,MIMIC,hemo_pvals,MI+mask,4,3,0.8004493745908745,roc_auc_score,ANOVA,30836,100,Classification,,,,
49,2500,MIMIC,hemo_pvals,MI+mask,4,4,0.802451926541451,roc_auc_score,ANOVA,30836,100,Classification,,,,
50,2500,MIMIC,septic_pvals,MI,0,0,0.8811308575106033,roc_auc_score,ANOVA,30836,100,Classification,,,,
51,2500,MIMIC,septic_pvals,MI,0,1,0.8887138787270965,roc_auc_score,ANOVA,30836,100,Classification,,,,
52,2500,MIMIC,septic_pvals,MI,0,2,0.8880123191713063,roc_auc_score,ANOVA,30836,100,Classification,,,,
53,2500,MIMIC,septic_pvals,MI,0,3,0.8894999517012234,roc_auc_score,ANOVA,30836,100,Classification,,,,
54,2500,MIMIC,septic_pvals,MI,0,4,0.8803369046735215,roc_auc_score,ANOVA,30836,100,Classification,,,,
55,2500,MIMIC,septic_pvals,MI,1,0,0.899835260513682,roc_auc_score,ANOVA,30836,100,Classification,,,,
56,2500,MIMIC,septic_pvals,MI,1,1,0.8994891759256944,roc_auc_score,ANOVA,30836,100,Classification,,,,
