,size,db,task,method,trial,fold,score,scorer,selection,n,p,type,imputation_WCT,tuning_WCT,imputation_PT,tuning_PT
0,100000,UKBB,breast_25,MI,0,0,0.6558672848050113,roc_auc_score,manual,273384,66,Classification,0.0,40234.240745,0.0,1305845.973268
1,100000,UKBB,breast_25,MI,0,1,0.6586339723647701,roc_auc_score,manual,273384,66,Classification,0.0,25198.95231,0.0,768682.047865
2,100000,UKBB,breast_25,MI,0,2,0.6560585090010496,roc_auc_score,manual,273384,66,Classification,0.0,26008.957525,0.0,789581.165962
3,100000,UKBB,breast_25,MI,0,3,0.6568383673722196,roc_auc_score,manual,273384,66,Classification,0.0,25609.925442,0.0,782212.168285
4,100000,UKBB,breast_25,MI,0,4,0.656201821950622,roc_auc_score,manual,273384,66,Classification,0.0,25124.213796,0.0,766051.261844
5,100000,UKBB,breast_25,MI+mask,0,0,0.6562613121510481,roc_auc_score,manual,273384,66,Classification,0.0,43301.867145,0.0,1157539.05647
6,100000,UKBB,breast_25,MI+mask,0,1,0.6584860981396824,roc_auc_score,manual,273384,66,Classification,0.0,43148.389399,0.0,1152786.409383
7,100000,UKBB,breast_25,MI+mask,0,2,0.6560772915566842,roc_auc_score,manual,273384,66,Classification,0.0,43356.973165,0.0,1156402.091255
8,100000,UKBB,breast_25,MI+mask,0,3,0.6566463296081435,roc_auc_score,manual,273384,66,Classification,0.0,43511.369956,0.0,1164263.341474
9,100000,UKBB,breast_25,MI+mask,0,4,0.6564601475023294,roc_auc_score,manual,273384,66,Classification,0.0,43165.219644,0.0,1156230.903675
10,100000,UKBB,breast_pvals,MI,0,0,0.6340342862909392,roc_auc_score,ANOVA,182257,100,Classification,0.0,50531.981073,0.0,1230887.613607
11,100000,UKBB,breast_pvals,MI,0,1,0.623020475737411,roc_auc_score,ANOVA,182257,100,Classification,0.0,49132.695141,0.0,1196454.818305
12,100000,UKBB,breast_pvals,MI,0,2,0.6242786031411884,roc_auc_score,ANOVA,182257,100,Classification,0.0,49009.958949,0.0,1192918.357512
13,100000,UKBB,breast_pvals,MI,0,3,0.6268494131967816,roc_auc_score,ANOVA,182257,100,Classification,0.0,48802.187707,0.0,1188111.626626
14,100000,UKBB,breast_pvals,MI,0,4,0.6249202414693737,roc_auc_score,ANOVA,182257,100,Classification,0.0,48825.824714,0.0,1191938.58341
15,100000,UKBB,breast_pvals,MI,1,0,0.6195549072396793,roc_auc_score,ANOVA,182257,100,Classification,0.0,50876.672086,0.0,1240761.943405
16,100000,UKBB,breast_pvals,MI,1,1,0.6244693212200426,roc_auc_score,ANOVA,182257,100,Classification,0.0,49019.564556,0.0,1191612.591632
17,100000,UKBB,breast_pvals,MI,1,2,0.6211222554230044,roc_auc_score,ANOVA,182257,100,Classification,0.0,48748.040734,0.0,1182017.863506
18,100000,UKBB,breast_pvals,MI,1,3,0.6226285276849111,roc_auc_score,ANOVA,182257,100,Classification,0.0,48779.043747,0.0,1185380.702208
19,100000,UKBB,breast_pvals,MI,1,4,0.6208893874035849,roc_auc_score,ANOVA,182257,100,Classification,0.0,49125.356479,0.0,1199335.077493
20,100000,UKBB,breast_pvals,MI,2,0,0.6203578748766112,roc_auc_score,ANOVA,182257,100,Classification,0.0,77129.62001,0.0,2040049.647717
21,100000,UKBB,breast_pvals,MI,2,1,0.6212808658516981,roc_auc_score,ANOVA,182257,100,Classification,0.0,66692.367229,0.0,1722778.125626
22,100000,UKBB,breast_pvals,MI,2,2,0.6236219294282263,roc_auc_score,ANOVA,182257,100,Classification,0.0,106175.720749,0.0,2820104.486382
23,100000,UKBB,breast_pvals,MI,2,3,0.6216330183090115,roc_auc_score,ANOVA,182257,100,Classification,0.0,66981.093818,0.0,1789987.201433
24,100000,UKBB,breast_pvals,MI,2,4,0.6230559002638802,roc_auc_score,ANOVA,182257,100,Classification,0.0,99075.685875,0.0,2849672.249442
25,100000,UKBB,breast_pvals,MI,3,0,0.6232397390297102,roc_auc_score,ANOVA,182257,100,Classification,0.0,51724.765866,0.0,1265226.368991
26,100000,UKBB,breast_pvals,MI,3,1,0.6208710996383077,roc_auc_score,ANOVA,182257,100,Classification,0.0,49487.075915,0.0,1203891.337437
27,100000,UKBB,breast_pvals,MI,3,2,0.6267224987916569,roc_auc_score,ANOVA,182257,100,Classification,0.0,49771.179048,0.0,1211616.466307
28,100000,UKBB,breast_pvals,MI,3,3,0.6258020355996001,roc_auc_score,ANOVA,182257,100,Classification,0.0,50203.875048,0.0,1224300.080409
29,100000,UKBB,breast_pvals,MI,3,4,0.624287692490883,roc_auc_score,ANOVA,182257,100,Classification,0.0,47593.518312,0.0,1160628.450805
30,100000,UKBB,breast_pvals,MI,4,0,0.6290351456781073,roc_auc_score,ANOVA,182257,100,Classification,0.0,51674.636963,0.0,1265807.036708
31,100000,UKBB,breast_pvals,MI,4,1,0.6235416961322202,roc_auc_score,ANOVA,182257,100,Classification,0.0,50058.148998,0.0,1221951.97968
32,100000,UKBB,breast_pvals,MI,4,2,0.6218640721316204,roc_auc_score,ANOVA,182257,100,Classification,0.0,49534.761812,0.0,1206785.311081
33,100000,UKBB,breast_pvals,MI,4,3,0.6270590647375501,roc_auc_score,ANOVA,182257,100,Classification,0.0,50238.2647,0.0,1229738.49484
34,100000,UKBB,breast_pvals,MI,4,4,0.6258123719795489,roc_auc_score,ANOVA,182257,100,Classification,0.0,47920.212307,0.0,1179035.187438
35,100000,UKBB,breast_pvals,MI+mask,0,0,0.6415725729982293,roc_auc_score,ANOVA,182257,100,Classification,0.0,97148.850624,0.0,2248684.23697
36,100000,UKBB,breast_pvals,MI+mask,0,1,0.628584282121465,roc_auc_score,ANOVA,182257,100,Classification,0.0,93944.776462,0.0,2171183.182447
37,100000,UKBB,breast_pvals,MI+mask,0,2,0.6314817780410514,roc_auc_score,ANOVA,182257,100,Classification,0.0,94730.930603,0.0,2197230.317437
38,100000,UKBB,breast_pvals,MI+mask,0,3,0.6330455346573252,roc_auc_score,ANOVA,182257,100,Classification,0.0,96712.075953,0.0,2233152.369875
39,100000,UKBB,breast_pvals,MI+mask,0,4,0.6304099337474085,roc_auc_score,ANOVA,182257,100,Classification,0.0,96358.866486,0.0,2225970.099752
40,100000,UKBB,breast_pvals,MI+mask,1,0,0.6293054004762938,roc_auc_score,ANOVA,182257,100,Classification,0.0,59253.530233,0.0,1391649.487792
41,100000,UKBB,breast_pvals,MI+mask,1,1,0.6324099103491357,roc_auc_score,ANOVA,182257,100,Classification,0.0,57866.755378,0.0,1349852.062947
42,100000,UKBB,breast_pvals,MI+mask,1,2,0.6285081887548479,roc_auc_score,ANOVA,182257,100,Classification,0.0,57373.037311,0.0,1329947.841963
43,100000,UKBB,breast_pvals,MI+mask,1,3,0.6318436602468753,roc_auc_score,ANOVA,182257,100,Classification,0.0,57322.590589,0.0,1331920.869885
44,100000,UKBB,breast_pvals,MI+mask,1,4,0.6293050681554495,roc_auc_score,ANOVA,182257,100,Classification,0.0,57690.788382,0.0,1358198.848678
45,100000,UKBB,breast_pvals,MI+mask,2,0,0.6280095301906778,roc_auc_score,ANOVA,182257,100,Classification,0.0,83208.450966,0.0,2132700.606379
46,100000,UKBB,breast_pvals,MI+mask,2,1,0.628673017154329,roc_auc_score,ANOVA,182257,100,Classification,0.0,115296.141548,0.0,3059211.432636
47,100000,UKBB,breast_pvals,MI+mask,2,2,0.6308812435440654,roc_auc_score,ANOVA,182257,100,Classification,0.0,156472.775759,0.0,4359236.69658
48,100000,UKBB,breast_pvals,MI+mask,2,3,0.6248414643696589,roc_auc_score,ANOVA,182257,100,Classification,0.0,139753.849789,0.0,4193064.570717
49,100000,UKBB,breast_pvals,MI+mask,3,0,0.6323642779808252,roc_auc_score,ANOVA,182257,100,Classification,0.0,94968.874092,0.0,2166984.797309
50,100000,UKBB,breast_pvals,MI+mask,3,1,0.6286513996851685,roc_auc_score,ANOVA,182257,100,Classification,0.0,91797.627993,0.0,2095888.960597
51,100000,UKBB,breast_pvals,MI+mask,3,2,0.6382724729171713,roc_auc_score,ANOVA,182257,100,Classification,0.0,92866.256559,0.0,2119568.515607
52,100000,UKBB,breast_pvals,MI+mask,3,3,0.6357347511037316,roc_auc_score,ANOVA,182257,100,Classification,0.0,92931.247862,0.0,2129678.54637
53,100000,UKBB,breast_pvals,MI+mask,3,4,0.63102507549276,roc_auc_score,ANOVA,182257,100,Classification,0.0,94804.748696,0.0,2175162.865619
54,100000,UKBB,breast_pvals,MI+mask,4,0,0.6344428537110243,roc_auc_score,ANOVA,182257,100,Classification,0.0,95192.489425,0.0,2155604.225847
55,100000,UKBB,breast_pvals,MI+mask,4,1,0.6285561195406488,roc_auc_score,ANOVA,182257,100,Classification,0.0,92342.344525,0.0,2093196.565458
56,100000,UKBB,breast_pvals,MI+mask,4,2,0.6269016267119002,roc_auc_score,ANOVA,182257,100,Classification,0.0,93731.308937,0.0,2122338.164978
57,100000,UKBB,breast_pvals,MI+mask,4,3,0.6324828609285406,roc_auc_score,ANOVA,182257,100,Classification,0.0,95153.207599,0.0,2155753.008162
58,100000,UKBB,breast_pvals,MI+mask,4,4,0.6311143226646125,roc_auc_score,ANOVA,182257,100,Classification,0.0,95213.38665,0.0,2164242.76509
59,100000,UKBB,parkinson_pvals,MI,0,0,0.7803244657395159,roc_auc_score,ANOVA,335005,100,Classification,0.0,57617.667959,0.0,1128821.281978
60,100000,UKBB,parkinson_pvals,MI,0,1,0.7751386835347348,roc_auc_score,ANOVA,335005,100,Classification,0.0,55104.568971,0.0,1074521.000672
61,100000,UKBB,parkinson_pvals,MI,0,2,0.7776497726590552,roc_auc_score,ANOVA,335005,100,Classification,0.0,56542.077575,0.0,1105291.357863
62,100000,UKBB,parkinson_pvals,MI,0,3,0.7765212079888633,roc_auc_score,ANOVA,335005,100,Classification,0.0,58052.903446,0.0,1134344.725782
63,100000,UKBB,parkinson_pvals,MI,0,4,0.7661774235187017,roc_auc_score,ANOVA,335005,100,Classification,0.0,57759.490385,0.0,1134057.009693
64,100000,UKBB,parkinson_pvals,MI,1,0,0.7642608917990505,roc_auc_score,ANOVA,335005,100,Classification,0.0,39051.033274,0.0,759871.135474
65,100000,UKBB,parkinson_pvals,MI,1,1,0.755683165406132,roc_auc_score,ANOVA,335005,100,Classification,0.0,37721.970573,0.0,702818.691514
66,100000,UKBB,parkinson_pvals,MI,1,2,0.7593628401004474,roc_auc_score,ANOVA,335005,100,Classification,0.0,39061.570123,0.0,759936.033045
