,size,db,task,method,trial,fold,score,scorer,selection,n,p,type,imputation_WCT,tuning_WCT,imputation_PT,tuning_PT
0,2500,MIMIC,hemo_pvals,MIA+Bagging100,0,0,0.8145894418978157,roc_auc_score,ANOVA,30836,100,Classification,0.0,6954.372634,0.0,547940.916803
1,2500,MIMIC,hemo_pvals,MIA+Bagging100,0,1,0.7899867224350285,roc_auc_score,ANOVA,30836,100,Classification,0.0,7131.333422,0.0,561744.961075
2,2500,MIMIC,hemo_pvals,MIA+Bagging100,0,2,0.7995421678116786,roc_auc_score,ANOVA,30836,100,Classification,0.0,7168.738623,0.0,564897.024147
3,2500,MIMIC,hemo_pvals,MIA+Bagging100,0,3,0.8097662811987179,roc_auc_score,ANOVA,30836,100,Classification,0.0,7079.473947,0.0,557831.556593
4,2500,MIMIC,hemo_pvals,MIA+Bagging100,0,4,0.7984998983793776,roc_auc_score,ANOVA,30836,100,Classification,0.0,7183.576119,0.0,566226.912549
5,2500,MIMIC,hemo_pvals,MIA+Bagging100,1,0,0.7841001483100124,roc_auc_score,ANOVA,30836,100,Classification,0.0,7034.132654,0.0,554061.981956
6,2500,MIMIC,hemo_pvals,MIA+Bagging100,1,1,0.8076309104474197,roc_auc_score,ANOVA,30836,100,Classification,0.0,7179.835384,0.0,565597.03086
7,2500,MIMIC,hemo_pvals,MIA+Bagging100,1,2,0.8153728052858258,roc_auc_score,ANOVA,30836,100,Classification,0.0,7342.924553,0.0,578775.638691
8,2500,MIMIC,hemo_pvals,MIA+Bagging100,1,3,0.8009696031358701,roc_auc_score,ANOVA,30836,100,Classification,0.0,7178.20634,0.0,565464.181701
9,2500,MIMIC,hemo_pvals,MIA+Bagging100,1,4,0.8017420924700196,roc_auc_score,ANOVA,30836,100,Classification,0.0,7237.553133,0.0,570172.457693
10,2500,MIMIC,hemo_pvals,MIA+Bagging100,2,0,0.8068934597312641,roc_auc_score,ANOVA,30836,100,Classification,0.0,7257.134332,0.0,572496.135338
11,2500,MIMIC,hemo_pvals,MIA+Bagging100,2,1,0.7919884976674723,roc_auc_score,ANOVA,30836,100,Classification,0.0,7213.025192,0.0,569233.784264
12,2500,MIMIC,hemo_pvals,MIA+Bagging100,2,2,0.7878094089045554,roc_auc_score,ANOVA,30836,100,Classification,0.0,7268.235629,0.0,573615.774048
13,2500,MIMIC,hemo_pvals,MIA+Bagging100,2,3,0.7969958268660762,roc_auc_score,ANOVA,30836,100,Classification,0.0,7183.768362,0.0,566918.208061
14,2500,MIMIC,hemo_pvals,MIA+Bagging100,2,4,0.7886089107693264,roc_auc_score,ANOVA,30836,100,Classification,0.0,7263.646914,0.0,573229.534986
15,2500,MIMIC,hemo_pvals,MIA+Bagging100,3,0,0.7999888670400954,roc_auc_score,ANOVA,30836,100,Classification,0.0,7140.398205,0.0,562244.758435
16,2500,MIMIC,hemo_pvals,MIA+Bagging100,3,1,0.8090825103357451,roc_auc_score,ANOVA,30836,100,Classification,0.0,6913.14617,0.0,543933.36471
17,2500,MIMIC,hemo_pvals,MIA+Bagging100,3,2,0.8102152242795183,roc_auc_score,ANOVA,30836,100,Classification,0.0,6988.215383,0.0,550170.991409
18,2500,MIMIC,hemo_pvals,MIA+Bagging100,3,3,0.8139571070356422,roc_auc_score,ANOVA,30836,100,Classification,0.0,7045.533718,0.0,554696.745876
19,2500,MIMIC,hemo_pvals,MIA+Bagging100,3,4,0.8202238415356926,roc_auc_score,ANOVA,30836,100,Classification,0.0,7013.870601,0.0,552099.445038
20,2500,MIMIC,hemo_pvals,MIA+Bagging100,4,0,0.8080961646090109,roc_auc_score,ANOVA,30836,100,Classification,0.0,6890.325257,0.0,542514.494413
21,2500,MIMIC,hemo_pvals,MIA+Bagging100,4,1,0.8043831930278328,roc_auc_score,ANOVA,30836,100,Classification,0.0,7194.71542,0.0,566891.128425
22,2500,MIMIC,hemo_pvals,MIA+Bagging100,4,2,0.7914522169477308,roc_auc_score,ANOVA,30836,100,Classification,0.0,7207.335687,0.0,567886.432546
23,2500,MIMIC,hemo_pvals,MIA+Bagging100,4,3,0.8059785720727543,roc_auc_score,ANOVA,30836,100,Classification,0.0,7014.453891,0.0,552580.960245
24,2500,MIMIC,hemo_pvals,MIA+Bagging100,4,4,0.8100387366593267,roc_auc_score,ANOVA,30836,100,Classification,0.0,6979.270922,0.0,549665.520818
25,2500,MIMIC,septic_pvals,MIA+Bagging100,0,0,0.9171273050770511,roc_auc_score,ANOVA,30836,100,Classification,0.0,7733.106426,0.0,609901.375434
26,2500,MIMIC,septic_pvals,MIA+Bagging100,0,1,0.9224855111852136,roc_auc_score,ANOVA,30836,100,Classification,0.0,7608.153293,0.0,599920.401184
27,2500,MIMIC,septic_pvals,MIA+Bagging100,0,2,0.9105592504895901,roc_auc_score,ANOVA,30836,100,Classification,0.0,7534.411445,0.0,594267.188701
28,2500,MIMIC,septic_pvals,MIA+Bagging100,0,3,0.9186039108338877,roc_auc_score,ANOVA,30836,100,Classification,0.0,7597.520295,0.0,599234.070866
29,2500,MIMIC,septic_pvals,MIA+Bagging100,0,4,0.9190279129165883,roc_auc_score,ANOVA,30836,100,Classification,0.0,7632.418529,0.0,601989.967213
30,2500,MIMIC,septic_pvals,MIA+Bagging100,1,0,0.9219269220502557,roc_auc_score,ANOVA,30836,100,Classification,0.0,7621.974524,0.0,601429.02847
31,2500,MIMIC,septic_pvals,MIA+Bagging100,1,1,0.9193283295448312,roc_auc_score,ANOVA,30836,100,Classification,0.0,7586.490862,0.0,598191.232015
32,2500,MIMIC,septic_pvals,MIA+Bagging100,1,2,0.9155124618522115,roc_auc_score,ANOVA,30836,100,Classification,0.0,7491.360374,0.0,591008.655444
33,2500,MIMIC,septic_pvals,MIA+Bagging100,1,3,0.9177522310774594,roc_auc_score,ANOVA,30836,100,Classification,0.0,7629.278101,0.0,602085.806263
34,2500,MIMIC,septic_pvals,MIA+Bagging100,1,4,0.9187050651129691,roc_auc_score,ANOVA,30836,100,Classification,0.0,7505.272393,0.0,592116.588858
35,2500,MIMIC,septic_pvals,MIA+Bagging100,2,0,0.92014423522695,roc_auc_score,ANOVA,30836,100,Classification,0.0,7523.723716,0.0,593290.247783
36,2500,MIMIC,septic_pvals,MIA+Bagging100,2,1,0.9213370148657264,roc_auc_score,ANOVA,30836,100,Classification,0.0,7607.718885,0.0,600193.243806
37,2500,MIMIC,septic_pvals,MIA+Bagging100,2,2,0.9226918729636188,roc_auc_score,ANOVA,30836,100,Classification,0.0,7670.833017,0.0,605000.457116
38,2500,MIMIC,septic_pvals,MIA+Bagging100,2,3,0.9196490878001269,roc_auc_score,ANOVA,30836,100,Classification,0.0,7817.924246,0.0,616842.749466
39,2500,MIMIC,septic_pvals,MIA+Bagging100,2,4,0.9265240542383303,roc_auc_score,ANOVA,30836,100,Classification,0.0,7503.833902,0.0,591638.039358
40,2500,MIMIC,septic_pvals,MIA+Bagging100,3,0,0.9238380279819725,roc_auc_score,ANOVA,30836,100,Classification,0.0,7508.376075,0.0,592359.12426
41,2500,MIMIC,septic_pvals,MIA+Bagging100,3,1,0.9233818015395843,roc_auc_score,ANOVA,30836,100,Classification,0.0,7358.017395,0.0,580402.832862
42,2500,MIMIC,septic_pvals,MIA+Bagging100,3,2,0.9243413321998416,roc_auc_score,ANOVA,30836,100,Classification,0.0,7419.900289,0.0,585461.561032
43,2500,MIMIC,septic_pvals,MIA+Bagging100,3,3,0.9252245062328079,roc_auc_score,ANOVA,30836,100,Classification,0.0,7618.553443,0.0,601249.288748
