,size,db,task,method,trial,fold,score,scorer,selection,n,p,type,imputation_WCT,tuning_WCT,imputation_PT,tuning_PT
0,100000,UKBB,breast_25,MIA+bagging,0,0,0.6552628493101313,roc_auc_score,manual,273384,66,Classification,0.0,17197.011636,0.0,523290.425681
1,100000,UKBB,breast_25,MIA+bagging,0,1,0.656428212109504,roc_auc_score,manual,273384,66,Classification,0.0,16553.210859,0.0,501434.264256
2,100000,UKBB,breast_25,MIA+bagging,0,2,0.6546123033152942,roc_auc_score,manual,273384,66,Classification,0.0,18859.333936,0.0,584097.668901
3,100000,UKBB,breast_25,MIA+bagging,0,3,0.655298122394306,roc_auc_score,manual,273384,66,Classification,0.0,16665.564123,0.0,504067.911998
4,100000,UKBB,breast_25,MIA+bagging,0,4,0.6543759290174367,roc_auc_score,manual,273384,66,Classification,0.0,22846.010137,0.0,728758.307607
5,100000,UKBB,breast_pvals,MIA+bagging,0,0,0.6390432169429133,roc_auc_score,ANOVA,182257,100,Classification,0.0,25324.919117,0.0,563081.216171
6,100000,UKBB,breast_pvals,MIA+bagging,0,1,0.6293298905730933,roc_auc_score,ANOVA,182257,100,Classification,0.0,26551.141896,0.0,605840.702909
7,100000,UKBB,breast_pvals,MIA+bagging,0,2,0.6307998511190509,roc_auc_score,ANOVA,182257,100,Classification,0.0,24576.958827,0.0,537358.574196
8,100000,UKBB,breast_pvals,MIA+bagging,0,3,0.632710595198741,roc_auc_score,ANOVA,182257,100,Classification,0.0,32435.241482,0.0,811693.693194
9,100000,UKBB,breast_pvals,MIA+bagging,0,4,0.6310331307493966,roc_auc_score,ANOVA,182257,100,Classification,0.0,24023.627464,0.0,523413.917284
10,100000,UKBB,breast_pvals,MIA+bagging,1,0,0.6278427388292125,roc_auc_score,ANOVA,182257,100,Classification,0.0,25688.309385,0.0,560574.297883
11,100000,UKBB,breast_pvals,MIA+bagging,1,1,0.632463007835141,roc_auc_score,ANOVA,182257,100,Classification,0.0,25520.262127,0.0,553020.380026
12,100000,UKBB,breast_pvals,MIA+bagging,1,2,0.6297697032960183,roc_auc_score,ANOVA,182257,100,Classification,0.0,25466.119795,0.0,551196.211414
13,100000,UKBB,breast_pvals,MIA+bagging,1,3,0.6308975523762951,roc_auc_score,ANOVA,182257,100,Classification,0.0,25672.262938,0.0,556534.684295
